Year,W1,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
2004,50,51.7,16.2,46.5,26.7,12.3,28.4,18.9,15.9,10.4,20.1,12.1,29,28.1,33.6,22.7,36
2005,47.9,53.2,17.1,48.4,27.1,12.5,29.4,14.5,16.1,10.9,20.9,13,29.3,28,34,24.5,36.6
2006,45.4,54.5,17.1,48.7,26.9,12.6,28.5,13.3,16.4,10.8,21.3,13.1,29.4,28,33.4,24.9,36.5
2007,44.8,55.1,17,49,26.7,13.1,28.3,13.7,16.7,11,21.6,13.5,28.6,28,33.9,24.8,36.4
2008,45.4,57.4,18,50.4,27.9,13.8,29.8,16.9,18.2,12,22.4,14.5,28.1,29.1,35.5,25.8,37.6
2009,49.1,57.9,18.8,52.8,29.5,15.1,31.9,20,19.5,13,23.5,15.4,29.6,30.1,37,27,39.7
2010,52.7,57.8,18.6,50.8,29.2,14.1,32.2,20.6,18.5,12.4,23.6,15.3,29,30.1,35.9,27.1,39.1
2011,85.2,58.4,19.3,52,29.4,14.2,33.2,20.8,19.2,12.6,23.8,15.6,29.2,30.3,36.2,27.5,39.3
2012,93.2,58.4,20.9,52.1,30,14.7,32.5,20.8,19,13.3,23.7,17.1,30.3,31.6,36.2,28.2,38.4
2013,69.2,64.7,20.7,58.2,36.4,19.7,31.3,26.8,23.4,16.7,34.7,24.2,36,34.4,43.8,33.7,46.1
2014,67.1,70.7,20.9,68.5,43.3,25.7,43.6,36,28.6,19,44.8,29.8,40.7,43.2,51.1,39.5,51.8
2015,67.1,74.1,23.2,72.3,47.1,29.4,58.7,38.9,31.8,21.2,63.3,34.8,45.7,48.8,55.3,40.1,58
2016,69.4,77,25.8,65.7,45,33.2,62.2,36.7,34.1,23.5,69.6,39.2,45.3,53.6,74.9,40.1,64.2
2017,73.9,80,28.5,72.1,56.5,39.8,68.7,39.4,40.5,25.8,74.8,43.6,48,58.4,82.7,40.1,70.4
2018,78.5,82.9,31.1,80,64.9,47.4,79.7,41.9,49.9,28.1,89.9,48,50.8,63.2,86.1,40.1,76.6
2019,79,85.9,35.6,82,61,45,74.6,32.6,47.5,34.7,78.9,56.7,47.8,73.2,89.2,40.1,82.7
2020,78.6,87.5,42.4,103.4,66.8,50.9,80.1,20.4,54.4,46.4,80.5,64.6,47.9,69.4,111.1,40.1,90.8
2021,81.8,87.5,52.1,99.8,74.5,67.7,97.6,21.5,61.7,63.1,69.6,71.2,53.1,82.1,122.3,40.1,108.2
2022,77.2,87.5,63.9,99.7,79.9,79.5,115.1,24.7,69.7,74.2,91.4,81.8,56.2,92.1,116,40.1,120.9
2023,79.8,87.5,70.7,99.7,90.1,78.2,120.4,29.2,79.7,80.6,101.2,87,58.6,105.9,116,40.1,137.5
2024,71.9,87.5,58.9,99.7,95.3,75.8,122.7,30.7,85,83.6,120.6,83.4,61.6,105.6,116,40.1,136.6
2025,74.88,87.79,62.17,101.71,95.49,80.88,132.37,34.04,89.2,91.92,132.77,82.14,63.74,110.12,120.08,40.21,135.61
2026,80.17,88.45,68.43,104.26,99.61,87.87,137.69,35.6,94.49,99.69,144.09,79.09,65.72,114.02,125.45,40.76,140.11
2027,80.79,89.12,70.26,106.96,103.82,92.43,142.87,36.24,99.72,107.25,152.57,78.44,67.64,118.16,130.17,41.31,145.32
2028,80.62,89.78,72.03,109.66,108.05,96.2,147.85,36.9,104.98,114.85,161.13,75.66,69.54,122.32,134.58,41.86,150.95
2029,82.45,90.45,74.8,112.38,112.28,100.72,153.09,37.84,110.24,122.42,168.54,73.25,71.45,126.47,139.09,42.41,156.4
